Asunnon tyyppi,Sijanti,Hinta,Koko,Rakennus vuosi
"Omakotitalo | Järvimaisemissa 7-8h, k, s, khh, autotalli","Etu-Kanavuorentie 1 A, Vaajakoski, Jyväskylä",389 000 €,207 m²,2009
"Kerrostalo | 1h, avok, kph, las.p.","Sammonkatu 8, Keskusta, Jyväskylä",89 000 €,25 m²,1973
Paritalo | 4h + avokeit + vh + khh + kph + s + wc + ak + var + terassi,"Kumpukuja 2 as 1, Tikkakoski, Jyväskylä",178 000 €,81 m²,2008
"Omakotitalo | 3h, k, ym","Kontintie 12, Muuratsalo, Jyväskylä",25 000 €,93 m²,1987
Kerrostalo | 2h + k + wc + s + lasp,"Schaumanin puistotie 47, Lutakko, Jyväskylä",216 000 €,"59,5 m²",2006
Kerrostalo | 3h + k + s,"Laajavuorentie 12, Savela, Jyväskylä","24 941,46 €","66,5 m²",2011
Rivitalo | 3h + k + s + kph + khh + vh + wc + var + terassi,"Kotasavuntie 4, Kaunisharju, Jyväskylä",219 000 €,80 m²,2011
"Rivitalo | 3h, k, kph, s, wc, vh","Kultalakintie 2 C, Keltinmäki, Jyväskylä",99 000 €,81 m²,1984
"Omakotitalo | 3mh, oh, k, kh, wc x2, khh + sauna, kh, ja vierast","Valkolantie 20, Valkola, Jyväskylä",497 000 €,"192,5 m²",2017
"Kerrostalo | 3h, k, kh, eteinen, lasitettu parveke","Keltinmäentie 21 A, Keltinmäki, Jyväskylä",98 500 €,"80,5 m²",1972
Rivitalo | 5h + k + kph + s + var.,"Naattiantie 60, Nenäinniemi, Jyväskylä",249 000 €,"113,7 m²",2003
"Kerrostalo | 3h, k, kph, s, p","Voionmaankatu 6 A, Mäki-Matti, Jyväskylä",169 000 €,"67,5 m²",1989
"Rivitalo | 3h, k, kph, khh","Revontie 3 As, Ritoniemi, Jyväskylä",169 000 €,81 m²,1989
"Omakotitalo | 4h, k, ruokailutila, kph, 2s, 2wc, takkah, uima-allas","Partasentie 9, Palokka, Jyväskylä",169 000 €,160 m²,1966
Rivitalo | 3h + k,"Martinkatu 2, Tikkakoski, Jyväskylä",75 000 €,76 m²,1970
Kerrostalo | 3h + k + kph + s + wc + lasp + var,"Koskenharjuntie 1, Taulumäki, Jyväskylä",159 500 €,"65,5 m²",1992
Kerrostalo | tupak + kph + s,"Erotteluntie 7, Hupeli, Jyväskylä",123 000 €,41 m²,2018
"Kerrostalo | 2h, k, kph, las.p","Haperontie 5, Keltinmäki, Jyväskylä",58 000 €,55 m²,1978
Kerrostalo | 2h + k + p,"Vapaudenkatu 67, Keskusta, Jyväskylä",142 000 €,50 m²,1964
"Omakotitalo | keittiö, tupa, alkovi, kh / wc","Tunnelitie 12, Vesanka, Jyväskylä",38 000 €,50 m²,1960
Kerrostalo | 2H + KK,"Ansaritie 3 A 08, Äijälänranta, Jyväskylä","21 092,53 €","51,5 m²",2015
"Kerrostalo | 3h, kt, kph, p","Tiilitehtaantie 60, Mannisenmäki, Jyväskylä",129 000 €,52 m²,2017
Omakotitalo | 5h + k + s + kph + wc 110 m² + ateljee / vierashuone n. 20,"Pikkurintie 12, Ruoke, Jyväskylä",157 000 €,130 m²,1945
"Omakotitalo | 4 mh, oh, k, rt, tv-huone, khh, ph, s, 2*erill.wc,","Lylyntie 29, Ruoke, Jyväskylä",359 000 €,140 m²,2017
"Kerrostalo | 4h, k, s, lasittettu parveke","Lahjaharjuntie 1, Taulumäki, Jyväskylä",204 000 €,91 m²,1985
"Kerrostalo | 3h, k, vh, kph, sauna + parveke","Survosenahde 9-11, Jyskä, Jyväskylä",109 000 €,74 m²,1971
Rivitalo | 3h + tupak + s + kph + khh + wc + parvi + var + terassi + ak,"Uimarannantie 7 B 6, Tikka, Jyväskylä",225 000 €,"83,5 m²",1987
Rivitalo | 3h + k + kph + s + p,"Pärnäsentie 10, Ritoniemi, Jyväskylä",163 000 €,78 m²,1998
Omakotitalo | 5h + k + s + khh + 2x kph + s + 2x wc + vh + ak,"Majavankuja 9A, Halssila, Jyväskylä",345 000 €,135 m²,2020
"Kerrostalo | 3h, k, s, p","Kivipelto 2, Kekkola, Jyväskylä",149 000 €,"74,5 m²",1988
"Kerrostalo | 1h, k, s","Palstatie 2 A, Kuokkala, Jyväskylä",96 000 €,35 m²,1990
Kerrostalo | 2h + k + kph,"Rajakatu 36, Taulumäki, Jyväskylä",103 000 €,"36,5 m²",1946
Omakotitalo | 7h + k + khh + kph + s + oleskelut. + yläaula + at + var,"Purjetie 4, Kinkovuori, Jyväskylä",349 000 €,247 m²,2008
"Rivitalo | 3h, k, s","Männikköpolku 3, Palokka, Jyväskylä",129 000 €,81 m²,1978
Kerrostalo | 3H + K + S,"Wilhelm Schildtin katu 11 A 28, Kortesuo, Jyväskylä","19 167,49 €",71 m²,1997
Omakotitalo | 6h + k + at + varastot,"Jäkälätie 20, Keljonkangas, Jyväskylä",179 000 €,172 m²,1985
Kerrostalo | 2h + k + kph + s + las.p.,"Mannisenrinne 12, Palokka, Jyväskylä",165 000 €,49 m²,2017
Kerrostalo | 2h + kk + kh + vk,"Vapaudenkatu 24 A , Keskusta, Jyväskylä",135 000 €,"47,5 m²",1960
Kerrostalo | 1h + kt + ranskalainen parveke,"Haukankaari 3, Haukkala, Jyväskylä",103 000 €,"25,5 m²",2020
Rivitalo | 2h + k + s,"Järveläntie 15 F, Jyskä, Jyväskylä",89 000 €,59 m²,1985
"Rivitalo | 3h, k, s, kh, et, vh, var, terassi","Kotamäenkuja 6, Kaunisharju, Jyväskylä",129 900 €,72 m²,1990
"Kerrostalo | 1h, kk, kph, ranskalainen parveke","Haapatie 2 B, Vaajakoski, Jyväskylä",48 000 €,22 m²,1958
Rivitalo | 2H + K + S,"Toukokuja 5 B 10, Palokka, Jyväskylä","14 961,57 €","48,5 m²",2001
"Luhtitalo | 2k, k","Saarikonkatu 2 B, Kuokkala, Jyväskylä",99 000 €,"50,5 m²",1992
Rivitalo | 4h + k + s,"Äijäläntie 10, Väinölä, Jyväskylä","28 398,28 €","93,5 m²",2005
"Rivitalo | 2h, k, s","Kivirannantie 19, Palokka, Jyväskylä",119 000 €,64 m²,1980
"Kerrostalo | 2h, k, kph, vh, p","Rasikatu 3, Kangasvuori, Jyväskylä",75 000 €,52 m²,1967
Kerrostalo | 3h + h + kph + s + p,"Kivipelto 2, Kekkola, Jyväskylä",149 000 €,78 m²,1988
Kerrostalo | 1h + k,"Rajakatu 26, Jyväskylä, Jyväskylä",93 000 €,"35,5 m²",1947
Paritalo | 3h + k + kph / s + wc +,"Valmetinkuja 5, JYSKÄ, Jyväskylä",109 000 €,62 m²,1947
Rivitalo | 3h + k + 2wc + s + vh + t,"Ritoharjuntie 10, Palokka, Jyväskylä",157 000 €,79 m²,1989
Rivitalo | 2h + k + s,"Juolukkatie 6, Keljonkangas, Jyväskylä",126 000 €,46 m²,2011
Omakotitalo | 4mh + oh + k + takkah. + kph + s,"Tyyppälänjärventie 201, Ritopohja, Jyväskylä",139 000 €,120 m²,1979
"Rivitalo | 3h, k, s, 2kph, pkh, wc, vh, ter, var","Ristikiventie 2, Ristikivi, Jyväskylä",144 900 €,"75,5 m²",1984
Kerrostalo | 4h + k + ruokatila + parvi + wc / khh + kph + s + lasp,"Iltarannantie 4, Ainola, Jyväskylä",270 000 €,97 m²,2006
"Kerrostalo | 2h, k, kph, las.p","Rasikatu 3, Kangasvuori, Jyväskylä",79 000 €,44 m²,1967
Rivitalo | 2h + k + vh + kph + s,"Ritoharjuntie 1, Palokka, Jyväskylä",119 000 €,"60,5 m²",1986
"Kerrostalo | 3h, k, kph + parveke","Torpankuja 2 B, Kortepohja, / Laajavuori Jyväskylä",123 000 €,"67,5 m²",1968
"Rivitalo | 3-4h, k, kph, s","Toritie 27 A, Kekkola, Jyväskylä",179 000 €,"78,5 m²",2005
Kerrostalo | 1h + avok + kph + rp,"Visakoivunkuja 11 B 24, Kuokkalanpelto,, Sulkula Jyväskylä",105 000 €,"26,5 m²",2017
Kerrostalo | 2h + k + kh + vh + parveke,"Tellervonkatu 17, keskusta, Jyväskylä",115 000 €,"49,3 m²",1950
"Rivitalo | 4h + k + s + kph, 2wc, 2 p, terassi, ak, var","Keljonkatu 17 B, Kukkumäki, Jyväskylä",226 000 €,108 m²,1990
"Kerrostalo | 2 huonetta, keittiö, kph, sauna","Yliopistonkatu 7 A, Keskusta, Jyväskylä",163 000 €,"47,5 m²",2004
Kerrostalo | 3h + vh + k + kph + s + lasitettu parveke,"Runkotie 4 A, Aittorinne, Jyväskylä",119 000 €,"72,5 m²",1972
Kerrostalo | 2h + kt + s,"Korteniityntie 47-53, Korteniitty, Jyväskylä","23 344,09 €","53,5 m²",2012
Kerrostalo | 2h + k + s + parveke,"Palstatie 2, Kuokkala, Jyväskylä",108 000 €,"53,5 m²",1990
"Paritalo | 4h, k, s, ph / khh, wc","Kaaritie 15a, Haapaniemi, Jyväskylä",243 000 €,100 m²,2013
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
"Omakotitalo | 4h, k, vh, khh, ph, s","Marjaanantie 15, Korpilahti,, Kotamäki Jyväskylä",197 000 €,121 m²,2008
"Kerrostalo | 2h, k, kph, vh + parveke","Tuomiojärvenranta 6 B, Laajavuori, / Korteniitty Jyväskylä",79 000 €,57 m²,1972
